event_id,event_title,market_question,outcomes,prices,volume,liquidity,clob_token_ids,end_date,closed,won
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 16°C or below on September 10?,"[""Yes"", ""No""]","[""0.001"", ""0.999""]",683.5034099999999,4408.73314,"[""40099367578049298116616204018727570975033085516314066869736347876943430826530"", ""31905321923187030268883723180579424215984473683058419614717736693551793289618""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 17°C on September 10?,"[""Yes"", ""No""]","[""0.001"", ""0.999""]",447.79230000000007,3718.67101,"[""56031824254577386834024562120527407816884524436699978296501748943677429383648"", ""34116008308487482156661915188565571456439693589396945840288712120131830410557""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 18°C on September 10?,"[""Yes"", ""No""]","[""0.015"", ""0.985""]",738.5861499999999,4679.4128,"[""79575001388253753402594838241765249484715238461504812645136923062469386396135"", ""61683389011073702214047534094302534057534459024725909254226567372780616433424""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 19°C on September 10?,"[""Yes"", ""No""]","[""0.03"", ""0.97""]",2584.617392,6161.5729,"[""81836320570253103281454903112864952113917317973152801836258804840936140955288"", ""115620588324705067051612380637724316420448634346040195423799265095246502713393""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 20°C on September 10?,"[""Yes"", ""No""]","[""0.36"", ""0.64""]",2659.0981970000003,4410.5686,"[""82398067663586676190991717002538582621357384529639111449718429087740048929670"", ""67901891314478512241679638640314787287364428435281866398879020349032849974879""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 21°C on September 10?,"[""Yes"", ""No""]","[""0.54"", ""0.46""]",5415.5106510000005,4992.818,"[""19560367680999790443225395732413224935465931421881253241975530892979064826173"", ""95377880237261536018881204733435507723867418340525577887412848007644135413072""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 22°C on September 10?,"[""Yes"", ""No""]","[""0.07"", ""0.93""]",1718.444525,5656.5157,"[""12460187028990684462548186073123056651376425405241392407241753634302968022552"", ""51129870793524337225601599161831387188720835747797321868454626125836003465941""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 23°C on September 10?,"[""Yes"", ""No""]","[""0.006"", ""0.994""]",1308.187835,3802.40604,"[""985733077894385072426194946973393557911071246424460003640832996243474421172"", ""51017584655532323905376706377602905003098945386608696483637550212845756008244""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 24°C on September 10?,"[""Yes"", ""No""]","[""0.002"", ""0.998""]",672.2154,5515.15199,"[""107722470148065741608693553527432043414903723187544232094606924584330141001730"", ""45058510063934304675095264857701367210897139772904153304711275192586327775117""]",2026-09-10T12:00:00Z,False,False
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 25°C on September 10?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",309.941,5828.96538,"[""51222699110021701402256669622099115794994789336631746374205520690539088903241"", ""86329670730588225994169417682047958488498862491665325696493737146584477490431""]",2026-09-10T12:00:00Z,False,False
